CLLI Location Code,Location Name
ALNS,Alonsa
ALXN,Alexander
AMRN,Amaranth
ANOL,Anola
ARDN,Arden
ASHR,Ashern
ATON,Altona
AUST,Austin
BCHT,Brochet
BDVN,Bloodvein
BELH,Beulah
BENT,Benito
BIST,Bissett
BKDL,Brookdale
BLDR,Baldur
BLMT,Belmont
BLNT,Blumenort
BNRV,Berens River
BNSC,Binscarth
BRHD,Brokenhead
BRND,Brandon
BRQR,La Broquerie
BRRV,Birch River
BRTL,Birtle
BSJR,Beausejour
BSVN,Boissevain
BSWD,Basswood
BWMN,Bowsman
CHHL,Churchill
CLLK,Clear Lake
CLNW,Clanwilliam
CMVL,Camperville
COWN,Cowan
CRBR,Carberry
CRCY,Crystal City
CRMN,Carman
CRMR,Cormorant
CRND,Crandall
CROM,Cromer
CRPR,Cranberry Portage
CRTR,Cartwright
CSLK,Cross Lake
CWLK,Clearwater Lake
CYRV,Cypress River
DAPH,Dauphin
DGLD,Dugald
DGLS,Douglas
DLRN,Deloraine
DMCY,Dominion City
DRFR,Darlingford
EDDY,Eddystone
EDEN,Eden
EDWN,Edwin
ELGN,Elgin
ELIE,Elie
ELKH,Elkhorn
ELPH,Elphinstone
EMCK,Elm Creek
EMSN,Emerson
ERDL,Eriksdale
ERSN,Erickson
ERVL,Easterville
ETHL,Ethelbert
FCLK,Falcon Lake
FKRV,Fork River
FLFN,Flin Flon
FRWD,Fraserwood
FSBR,Fisher Branch
FSRV,Fisher River
FXWR,Foxwarren
GDBH,Grand Beach
GDLD,Goodlands
GDRP,Grand Rapids
GDRV,God's River
GDVW,Grandview
GIML,Gimli
GLDS,Gladstone
GLKN,Gods Lake Narrows
GLLK,Gull Lake
GLLM,Gillam
GLPL,Gilbert Plains
GNBO,Glenboro
GNEL,Glenella
GRET,Gretna
GRHL,Garden Hill
GRNT,Grunthal
GYPV,Gypsumville
HAMT,Hamiota
HCLA,Hecla
HDSH,Hadashville
HLLD,Holland
HTNY,Hartney
HZRG,Hazelridge
ILCH,Ile des Chenes
ILFR,Ilford
INGL,Inglis
INWD,Inwood
JKHD,Jackhead
KLFL,Kleefeld
KLRN,Killarney
KLWD,Kelwood
KNTN,Kenton
LAUR,Laurier
LCBC,Lac Brochet
LCBN,Lac Du Bonnet
LCPT,Lockport
LFRD,Leaf Rapids
LGRD,Little Grand Rapids
LIBA,Libau
LNDR,Lundar
LNGR,Langruth
LNMK,Landmark
LORT,Lorette
LSLL,La Salle
LTLR,Letellier
LYLK,Lynn Lake
LYTN,Lyleton
MANT,Manitou
MCDN,Macdonald
MCGR,MacGregor
MCLY,McAuley
MCRY,McCreary
MEDR,Medora
MELT,Melita
MFNG,Mafeking
MIAM,Miami
MINT,Minto
MNDS,Minnedosa
MNGT,Manigotagan
MNOT,Miniota
MNTN,Minitonas
MRDN,Morden
MRQT,Marquette
MRRS,Morris
MSLK,Moose Lake
NDLD,Notre Dame de Lourdes
NEPW,Neepawa
NINT,Ninette
NNHS,Nelson House
NRHS,Norway House
NVVL,Niverville
NWDL,Newdale
OCRV,Ochre River
ODHS,Oxford House
OKBK,Oakbank
OKBN,Oakburn
OKLK,Oak Lake
OKRV,Oak River
OKVL,Oakville
PINW,Pinawa
PINY,Piney
PKWN,Pukatawagan
PKWT,Pikwitonei
PLCL,Plum Coulee
PLFD,Poplarfield
PLMN,Pilot Mound
PLMS,Plumas
PLRV,Poplar River
PNBS,Pointe du Bois
PNDK,Pine Dock
PNFL,Pine Falls
PNRD,Pelican Rapids
PNRV,Pine River
PPPN,Poplar Point
PPST,Pipestone
PRPR,Portage la Prairie
PRSN,Pierson
PTFD,Petersfield
RBLN,Roblin
RBRN,Rossburn
RCHR,Richer
RENI,Rennie
RKTN,Rorketon
ROLD,Roland
RPCY,Rapid City
RSLK,Red Sucker Lake
RSSL,Russell
RSTN,Reston
RTWL,Rathwell
RVRS,Rivers
RVTN,Riverton
SFTN,Sifton
SHIL,Shilo
SHLK,Shoal Lake
SHMW,Shamattawa
SHRD,Sherridon
SILK,South Indian Lake
SLAZ,St Lazare
SLKR,Selkirk
SMFD,Sommerfeld
SMRT,Somerset
SNCL,Sinclair
SNFR,Sanford
SNLK,Sandy Lake
SNWF,Snowflake
SOLK,Snow Lake
SOPT,Southport
SORS,Souris
SPNG,Sperling
SPRG,Sprague
STAD,St Adolphe
STAN,Ste Anne
STAT,Ste Agathe
STAW,St Andrews
STCD,St Claude
STFD,Stephenfield
STFX,St Francois Xavier
STGR,St Georges
STJB,St Jean Baptiste
STLK,Split Lake
STLR,St Laurent
STML,St Malo
STMT,Stony Mountain
STNB,Steinbach
STNW,Stonewall
STPN,St Theresa Point
STPR,St Pierre-Jolys
STRB,Starbuck
STRK,Steep Rock
STRL,Ste Rose du Lac
STRT,Strathclair
SWLK,Swan Lake
SWRV,Swan River
TDLK,Tadoule Lake
TELN,Teulon
THSN,Thompson
TLTN,Tilston
TPAS,The Pas
TRHR,Treherne
TTPT,Thicket Portage
VCBH,Victoria Beach
VIDR,Vidir
VITA,Vita
VRDN,Virden
WAWN,Wawanesa
WBWD,Wabowden
WDLD,Woodlands
WDRG,Woodridge
WGMH,Wasagamack/Waasagomach
WNKL,Winkler
WNLS,Wanless
WNPG,Winnipeg
WNPS,Winnipegosis
WPBH,Winnipeg Beach
WRHN,Waterhen
WRRN,Warren
WSKD,Waskada
WTMO,Whitemouth
YKLG,York Landing
